"","Date","Geography","Keyword","Relative Search Intensity"
"477","September 2011","US-WI","world cup",18.4090909090909
"478","October 2011","US-WI","world cup",19.75
"479","November 2011","US-WI","world cup",8.57142857142857
"480","December 2011","US-WI","world cup",8.09090909090909
"481","January 2012","US-WI","world cup",4.23809523809524
"482","February 2012","US-WI","world cup",8.5
"483","March 2012","US-WI","world cup",7.78947368421053
"484","April 2012","US-WI","world cup",4.58823529411765
"485","May 2012","US-WI","world cup",8.70588235294118
"486","June 2012","US-WI","world cup",17.3333333333333
"487","July 2012","US-WI","world cup",9.11111111111111
"488","August 2012","US-WI","world cup",8.76190476190476
"489","September 2012","US-WI","world cup",7.21739130434783
"490","October 2012","US-WI","world cup",8.31578947368421
"491","November 2012","US-WI","world cup",3.95238095238095
"492","December 2012","US-WI","world cup",4.28571428571429
"493","January 2013","US-WI","world cup",4.38095238095238
"494","February 2013","US-WI","world cup",8.38095238095238
"495","March 2013","US-WI","world cup",8.84210526315789
"496","April 2013","US-WI","world cup",4.11111111111111
"497","May 2013","US-WI","world cup",8.82352941176471
"498","June 2013","US-WI","world cup",15.6
"499","July 2013","US-WI","world cup",13.05
"500","August 2013","US-WI","world cup",8.08695652173913
"501","September 2013","US-WI","world cup",11.04
"502","October 2013","US-WI","world cup",11.8571428571429
"503","November 2013","US-WI","world cup",17.8181818181818
"504","December 2013","US-WI","world cup",24.2608695652174
"505","January 2014","US-WI","world cup",12.5
"506","February 2014","US-WI","world cup",14.1
"507","March 2014","US-WI","world cup",17
"508","January 2011","US-WI","battlestar galactica",4.77777777777778
"509","February 2011","US-WI","battlestar galactica",5.0625
"510","March 2011","US-WI","battlestar galactica",4.41176470588235
"511","April 2011","US-WI","battlestar galactica",5
"512","May 2011","US-WI","battlestar galactica",4.6875
"513","June 2011","US-WI","battlestar galactica",4.35294117647059
"514","July 2011","US-WI","battlestar galactica",4.47058823529412
"515","August 2011","US-WI","battlestar galactica",4
"516","September 2011","US-WI","battlestar galactica",3.68181818181818
"517","October 2011","US-WI","battlestar galactica",3.95
"518","November 2011","US-WI","battlestar galactica",4.28571428571429
"519","December 2011","US-WI","battlestar galactica",4.04545454545455
"520","January 2012","US-WI","battlestar galactica",4.23809523809524
"521","February 2012","US-WI","battlestar galactica",4.25
"522","March 2012","US-WI","battlestar galactica",3.89473684210526
"523","April 2012","US-WI","battlestar galactica",4.58823529411765
"524","May 2012","US-WI","battlestar galactica",4.35294117647059
"525","June 2012","US-WI","battlestar galactica",4.33333333333333
"526","July 2012","US-WI","battlestar galactica",4.55555555555556
"527","August 2012","US-WI","battlestar galactica",4.38095238095238
"528","September 2012","US-WI","battlestar galactica",3.60869565217391
"529","October 2012","US-WI","battlestar galactica",4.15789473684211
"530","November 2012","US-WI","battlestar galactica",3.95238095238095
"531","December 2012","US-WI","battlestar galactica",4.28571428571429
"532","January 2013","US-WI","battlestar galactica",4.38095238095238
"533","February 2013","US-WI","battlestar galactica",4.19047619047619
"534","March 2013","US-WI","battlestar galactica",4.42105263157895
"535","April 2013","US-WI","battlestar galactica",4.11111111111111
"536","May 2013","US-WI","battlestar galactica",4.41176470588235
"537","June 2013","US-WI","battlestar galactica",3.9
"538","July 2013","US-WI","battlestar galactica",4.35
"539","August 2013","US-WI","battlestar galactica",4.04347826086957
"540","September 2013","US-WI","battlestar galactica",3.68
"541","October 2013","US-WI","battlestar galactica",3.95238095238095
"542","November 2013","US-WI","battlestar galactica",4.45454545454546
"543","December 2013","US-WI","battlestar galactica",4.04347826086957
"544","January 2014","US-WI","battlestar galactica",4.16666666666667
"545","February 2014","US-WI","battlestar galactica",4.7
"546","March 2014","US-WI","battlestar galactica",4.25
"547","January 2011","US-IA","pizza",424.625
"548","February 2011","US-IA","pizza",435.375
"549","March 2011","US-IA","pizza",407.142857142857
"550","April 2011","US-IA","pizza",448
"551","May 2011","US-IA","pizza",375
"552","June 2011","US-IA","pizza",379.25
"553","July 2011","US-IA","pizza",371.058823529412
"554","August 2011","US-IA","pizza",386.666666666667
"555","September 2011","US-IA","pizza",405
"556","October 2011","US-IA","pizza",463.466666666667
"557","November 2011","US-IA","pizza",546
"558","December 2011","US-IA","pizza",445
"559","January 2012","US-IA","pizza",380.722222222222
